Name	\\pi01uz\0096_PIT_5001
Data Type	Float 32
Number of Values	87631
Time	Value	Value Attributes
1-Jun-2018 04:04:43.05501	0.01806183
1-Jun-2018 03:34:48.03801	0.01773132
1-Jun-2018 03:04:48.04401	0.04147552
1-Jun-2018 02:34:48.06601	0.02832489
1-Jun-2018 02:04:48.07301	0.04232788
1-Jun-2018 01:34:48.07901	0.1698508
1-Jun-2018 01:23:28.07401	0.06701142
1-Jun-2018 01:19:43.07501	0.3369299
1-Jun-2018 01:19:33.07501	4.598988
1-Jun-2018 01:17:48.08701	4.584898
1-Jun-2018 01:17:43.07901	0.01900116
1-Jun-2018 01:17:38.07201	0.01698914
1-Jun-2018 01:17:33.095	0.2321307
1-Jun-2018 01:17:28.07201	4.633807
1-Jun-2018 01:14:28.07901	4.651347
1-Jun-2018 01:03:43.02701	5.524015
1-Jun-2018 00:47:18.07901	5.638711
1-Jun-2018 00:39:48.11201	5.338932
1-Jun-2018 00:35:48.09001	4.568344
1-Jun-2018 00:32:58.09601	3.351527
1-Jun-2018 00:30:33.09401	1.617267
1-Jun-2018 00:29:53.095	1.505458
1-Jun-2018 00:27:08.10901	2.859811
1-Jun-2018 00:19:38.095	5.244053
1-Jun-2018 00:11:43.106	5.486476
1-Jun-2018 00:11:28.11401	5.578826
31-May-2018 23:51:43.089	5.586236
31-May-2018 23:21:48.00301	5.582891
31-May-2018 22:51:48.041	5.579371
31-May-2018 22:21:48.041	5.588075
31-May-2018 21:51:53.01501	5.610421
31-May-2018 21:21:53.052	5.622807
31-May-2018 20:51:58.035	5.617861
31-May-2018 20:22:03.04901	5.617067
31-May-2018 19:52:03.05602	5.615466
31-May-2018 19:22:03.06201	5.616481
31-May-2018 18:52:03.10001	5.613784
31-May-2018 18:22:08.08301	5.614271
31-May-2018 17:52:13.08101	5.61299
31-May-2018 17:22:13.10301	5.612839
31-May-2018 16:52:13.10901	5.611199
31-May-2018 16:22:18.024	5.606229
31-May-2018 15:52:23.022	5.598801
31-May-2018 15:22:23.028	5.595792
