Name	\\pi01uz\0096_TIT_5001
Data Type	Float 32
Number of Values	87250
Time	Value	Value Attributes
24-Apr-2020 08:34:30	23.88765
24-Apr-2020 08:04:30	23.90388
24-Apr-2020 07:34:30	23.78891
24-Apr-2020 07:04:30	23.74845
24-Apr-2020 06:34:30	23.74345
24-Apr-2020 06:04:30	23.75396
24-Apr-2020 05:34:30	23.75883
24-Apr-2020 05:04:30	23.80241
24-Apr-2020 04:34:30	23.78908
24-Apr-2020 04:04:30	23.79733
24-Apr-2020 03:34:30	23.80151
24-Apr-2020 03:04:30	23.80844
24-Apr-2020 02:34:30	23.79353
24-Apr-2020 02:04:30	23.82911
24-Apr-2020 01:34:30	23.85261
24-Apr-2020 01:04:30	23.82706
24-Apr-2020 00:34:30	23.80104
24-Apr-2020 00:04:30	23.7813
23-Apr-2020 23:34:30	23.77545
23-Apr-2020 23:04:30	23.80045
23-Apr-2020 22:34:30	23.81301
23-Apr-2020 22:04:30	23.82847
23-Apr-2020 21:34:30	23.88829
23-Apr-2020 21:04:30	23.88957
23-Apr-2020 20:34:30	23.91285
23-Apr-2020 20:04:30	23.93118
23-Apr-2020 19:34:30	24.00924
23-Apr-2020 19:04:30	24.0368
23-Apr-2020 18:34:30	24.11861
23-Apr-2020 18:04:30	24.161
23-Apr-2020 17:34:30	24.22953
23-Apr-2020 17:04:30	24.20219
23-Apr-2020 16:34:30	24.25632
23-Apr-2020 16:04:30	24.31592
23-Apr-2020 15:34:30	24.37595
23-Apr-2020 15:04:30	24.45819
23-Apr-2020 14:34:30	24.40722
23-Apr-2020 14:04:30	24.42802
23-Apr-2020 13:34:30	24.45767
23-Apr-2020 13:04:30	24.39739
23-Apr-2020 12:34:30	24.39376
23-Apr-2020 12:04:30	24.35933
23-Apr-2020 11:34:30	24.32361
23-Apr-2020 11:04:30	24.27033
23-Apr-2020 10:34:30	24.19616
23-Apr-2020 10:04:30	24.10657
23-Apr-2020 09:34:30	24.00308
23-Apr-2020 09:04:30	23.95161
23-Apr-2020 08:34:30	23.90593
23-Apr-2020 08:04:30	23.85347
23-Apr-2020 07:34:30	23.73465
23-Apr-2020 07:04:30	23.64403
23-Apr-2020 06:34:30	23.62934
23-Apr-2020 06:04:30	23.57602
23-Apr-2020 05:34:30	23.56067
23-Apr-2020 05:04:30	23.61408
23-Apr-2020 04:34:30	23.60682
23-Apr-2020 04:04:30	23.62963
23-Apr-2020 03:34:30	23.64655
23-Apr-2020 03:04:30	23.63335
23-Apr-2020 02:34:30	23.64219
23-Apr-2020 02:04:30	23.64399
23-Apr-2020 01:34:30	23.69342
23-Apr-2020 01:04:30	23.69252
23-Apr-2020 00:34:30	23.70611
23-Apr-2020 00:04:30	23.72456
22-Apr-2020 23:34:30	23.69004
22-Apr-2020 23:04:30	23.66856
22-Apr-2020 22:34:30	23.69214
22-Apr-2020 22:04:30	23.71615
22-Apr-2020 21:34:30	23.73392
22-Apr-2020 21:04:30	23.80681
22-Apr-2020 20:34:30	23.8483
22-Apr-2020 20:04:30	23.89551
22-Apr-2020 19:34:30	23.94678
22-Apr-2020 19:04:30	24.00403
22-Apr-2020 18:34:30	24.01398
22-Apr-2020 18:04:30	24.07384
22-Apr-2020 17:34:30	24.16885
22-Apr-2020 17:04:30	24.22615
22-Apr-2020 16:34:30	24.24657
22-Apr-2020 16:04:30	24.21902
22-Apr-2020 15:34:30	24.26994
22-Apr-2020 15:04:30	24.27242
22-Apr-2020 14:34:30	24.29502
22-Apr-2020 14:04:30	24.28973
22-Apr-2020 13:34:30	24.29153
22-Apr-2020 13:04:30	24.36296
22-Apr-2020 12:34:30	24.30933
22-Apr-2020 12:04:30	24.32374
22-Apr-2020 11:34:30	24.26192
22-Apr-2020 11:04:30	24.19936
22-Apr-2020 10:34:30	24.09853
22-Apr-2020 10:04:30	24.00518
22-Apr-2020 09:34:30	23.88333
22-Apr-2020 09:04:30	23.84958
22-Apr-2020 08:34:30	23.79805
22-Apr-2020 08:04:30	23.71547
22-Apr-2020 07:34:30	23.58366
22-Apr-2020 07:04:30	23.52522
22-Apr-2020 06:34:30	23.48753
22-Apr-2020 06:04:30	23.50569
22-Apr-2020 05:34:30	23.47852
22-Apr-2020 05:04:30	23.52735
22-Apr-2020 04:34:30	23.53705
22-Apr-2020 04:04:30	23.52517
22-Apr-2020 03:34:30	23.54576
22-Apr-2020 03:04:30	23.56414
22-Apr-2020 02:34:30	23.56396
22-Apr-2020 02:04:30	23.56828
22-Apr-2020 01:34:30	23.57246
22-Apr-2020 01:04:30	23.57909
22-Apr-2020 00:34:30	23.57059
22-Apr-2020 00:04:30	23.58652
21-Apr-2020 23:34:30	23.59084
21-Apr-2020 23:04:30	23.61353
21-Apr-2020 22:34:30	23.63869
21-Apr-2020 22:04:30	23.66706
21-Apr-2020 21:34:30	23.65014
21-Apr-2020 21:04:30	23.65018
21-Apr-2020 20:34:30	23.65018
21-Apr-2020 20:04:30	23.67842
21-Apr-2020 19:34:30	23.7787
21-Apr-2020 19:04:30	23.88679
21-Apr-2020 18:34:30	23.97019
21-Apr-2020 18:04:30	23.98899
21-Apr-2020 17:34:30	24.11777
21-Apr-2020 17:04:30	24.10046
21-Apr-2020 16:34:30	24.10631
21-Apr-2020 16:04:30	24.12716
21-Apr-2020 15:34:30	24.16714
21-Apr-2020 15:04:30	24.13315
21-Apr-2020 14:34:30	24.12208
21-Apr-2020 14:04:30	24.16151
21-Apr-2020 13:34:30	24.14592
21-Apr-2020 13:04:30	24.08645
21-Apr-2020 12:34:30	24.12998
21-Apr-2020 12:04:30	24.08154
21-Apr-2020 11:34:30	24.02377
21-Apr-2020 11:04:30	23.98335
21-Apr-2020 10:34:30	23.88432
21-Apr-2020 10:04:30	23.81164
21-Apr-2020 09:34:30	23.74593
21-Apr-2020 09:04:30	23.70833
21-Apr-2020 08:34:30	23.61733
21-Apr-2020 08:04:30	23.60442
21-Apr-2020 07:34:30	23.52282
21-Apr-2020 07:04:30	23.48206
21-Apr-2020 06:34:30	23.36577
21-Apr-2020 06:04:30	23.3456
21-Apr-2020 05:34:30	23.3709
21-Apr-2020 05:04:30	23.3923
21-Apr-2020 04:34:30	23.36419
21-Apr-2020 04:04:30	23.3324
21-Apr-2020 03:34:30	23.25968
21-Apr-2020 03:04:30	23.31347
21-Apr-2020 02:34:30	23.3115
21-Apr-2020 02:04:30	23.29309
21-Apr-2020 01:34:30	23.30672
21-Apr-2020 01:04:30	23.30313
21-Apr-2020 00:34:30	23.33201
21-Apr-2020 00:04:30	23.37525
20-Apr-2020 23:34:30	23.39251
20-Apr-2020 23:04:30	23.40071
20-Apr-2020 22:34:30	23.42951
20-Apr-2020 22:04:30	23.43536
20-Apr-2020 21:34:30	23.43579
20-Apr-2020 21:04:30	23.4598
20-Apr-2020 20:34:30	23.5156
20-Apr-2020 20:04:30	23.5837
20-Apr-2020 19:34:30	23.6272
20-Apr-2020 19:04:30	23.71953
20-Apr-2020 18:34:30	23.8286
20-Apr-2020 18:04:30	23.90452
20-Apr-2020 17:34:30	23.95267
20-Apr-2020 17:04:30	23.95494
20-Apr-2020 16:34:30	23.98314
20-Apr-2020 16:04:30	23.98438
20-Apr-2020 15:34:30	23.99634
20-Apr-2020 15:04:30	24.0471
20-Apr-2020 14:34:30	24.02689
